old_url,source_domain,url_type,source_h1,decision,target_path,reason,reviewer,approved_at
https://makler-realty.com/en/category-type/dom/,makler-realty.com,taxonomy,House,301,/en/search?property_family=house,property type archive,,
https://makler-realty.com/en/category-type/hotel/,makler-realty.com,taxonomy,Hotels,301,/en/search?property_family=hotel,property type archive,,
https://makler-realty.com/en/category-type/house-floor/,makler-realty.com,taxonomy,House flour,301,/en/search?property_family=house,property type archive,,
https://makler-realty.com/en/category-type/industrial-building/,makler-realty.com,taxonomy,Industrial building,301,/en/search?property_family=commercial,property type archive,,
https://makler-realty.com/en/category-type/office-building/,makler-realty.com,taxonomy,Office building,301,/en/search?property_family=commercial,property type archive,,
https://makler-realty.com/en/category-type/office/,makler-realty.com,taxonomy,Office,301,/en/search?property_family=commercial,property type archive,,
https://makler-realty.com/en/category-type/studio/,makler-realty.com,taxonomy,Studio,301,/en/search?property_family=apartment,property type archive,,
https://makler-realty.com/en/category-type/villa/,makler-realty.com,taxonomy,Villa,301,/en/search?property_family=house,property type archive,,
https://makler-realty.com/en/resort/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b2-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%be/,makler-realty.com,taxonomy,Bansko,410,,no location page for resort/недвижимость-в-банско,,
https://makler-realty.com/en/resort/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,taxonomy,Sandanski,301,/en/locations/sandanski,resort archive with inventory,,
https://makler-realty.com/en/resort/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d1%81%d0%b2%d1%8f%d1%82%d0%be%d0%b9-%d0%b2%d0%bb%d0%b0%d1%81/,makler-realty.com,taxonomy,St Vlas,410,,no location page for resort/недвижимость-святой-влас,,
https://makler-realty.com/en/resort/nafplio/,makler-realty.com,taxonomy,Nafplio,410,,no location page for resort/nafplio,,
https://makler-realty.com/en/services/,makler-realty.com,page,Services,410,,no localized route for this URL,,
https://makler-realty.com/en/transfer-thessaloniki-bansko/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/floors/1/,makler-realty.com,taxonomy,1,410,,floors archive has no indexable equivalent,,
https://makler-realty.com/floors/2/,makler-realty.com,taxonomy,2,410,,floors archive has no indexable equivalent,,
https://makler-realty.com/floors/3/,makler-realty.com,taxonomy,3,410,,floors archive has no indexable equivalent,,
https://makler-realty.com/floors/4/,makler-realty.com,taxonomy,4,410,,floors archive has no indexable equivalent,,
https://makler-realty.com/floors/5/,makler-realty.com,taxonomy,5,410,,floors archive has no indexable equivalent,,
https://makler-realty.com/floors/6/,makler-realty.com,taxonomy,6,410,,floors archive has no indexable equivalent,,
https://makler-realty.com/location/%d0%b3%d1%8a%d1%80%d1%86%d0%b8%d1%8f/,makler-realty.com,taxonomy,Гърция,410,,location archive has no indexable equivalent,,
https://makler-realty.com/location/bulgaria/,makler-realty.com,taxonomy,България,410,,location archive has no indexable equivalent,,
https://makler-realty.com/nl,makler-realty.com,page,Vastgoed in Bulgarije,410,,no localized route for this URL,,
https://makler-realty.com/nl/,makler-realty.com,page,Vastgoed in Bulgarije,410,,no localized route for this URL,,
https://makler-realty.com/nl/%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B0-%D0%BD%D0%B0-%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D1%82%D0%B5-%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/,makler-realty.com,page,Datenschutz-Bestimmungen,410,,no localized route for this URL,,
https://makler-realty.com/nl/%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d0%b0%d1%8f/,makler-realty.com,page,Vastgoed in Bulgarije,410,,no localized route for this URL,,
https://makler-realty.com/nl/%d0%ba%d0%be%d0%bd%d1%82%d0%b0%d0%ba%d1%82%d0%b8/,makler-realty.com,page,Contacten / Impressum,410,,no localized route for this URL,,
https://makler-realty.com/nl/%d0%be%d1%84%d0%be%d1%80%d0%bc%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5-%d1%81%d0%b4%d0%b5%d0%bb%d0%ba%d0%b8-%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b1%d0%be%d0%bb%d0%b3/,makler-realty.com,page,HOE KOPEN,410,,no localized route for this URL,,
https://makler-realty.com/nl/%d0%be-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8/,makler-realty.com,page,Over ons,410,,no localized route for this URL,,
https://makler-realty.com/nl/%d0%bf%d0%b0%d1%80%d1%82%d0%bd%d1%8c%d0%be%d1%80%d0%b8/,makler-realty.com,page,Partners,410,,no localized route for this URL,,
https://makler-realty.com/nl/%d1%82%d0%b0%d0%ba%d1%81%d0%b8-%d0%b8%d0%b7-%d1%81%d0%be%d1%84%d0%b8%d0%b8-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/nl/%d1%82%d1%80%d0%b0%d0%bd%d1%81%d1%84%d0%b5%d1%80-%d1%81%d0%b0%d0%bb%d0%be%d0%bd%d0%b8%d0%ba%d0%b8-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/nl/category-type/%d0%b5lite-realtor/,makler-realty.com,taxonomy,Luxe Vastgoed,410,,no canonical family for category-type/еlite-realtor,,
https://makler-realty.com/nl/category-type/%d1%81%d0%b5%d0%bb%d1%8c%d1%81%d0%ba%d0%be%d1%85%d0%be%d0%b7%d1%8f%d0%b9%d1%81%d1%82%d0%b2%d0%b5%d0%bd%d0%bd%d0%b0%d1%8f-%d0%b7%d0%b5%d0%bc%d0%bb%d1%8f/,makler-realty.com,taxonomy,,301,/nl/zoeken?property_family=agricultural_land,property type archive,,
https://makler-realty.com/nl/category-type/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%b7%d0%b5%d0%bc%d0%bb%d0%b8/,makler-realty.com,taxonomy,,301,/nl/zoeken?property_family=plot,property type archive,,
https://makler-realty.com/nl/category-type/apartment/,makler-realty.com,taxonomy,Appartementen,301,/nl/zoeken?property_family=apartment,property type archive,,
https://makler-realty.com/nl/category-type/commercial-area/,makler-realty.com,taxonomy,Commerciële ruimte,301,/nl/zoeken?property_family=commercial,property type archive,,
https://makler-realty.com/nl/category-type/dom/,makler-realty.com,taxonomy,,301,/nl/zoeken?property_family=house,property type archive,,
https://makler-realty.com/nl/category-type/hotel/,makler-realty.com,taxonomy,Hotels,301,/nl/zoeken?property_family=hotel,property type archive,,
https://makler-realty.com/nl/category-type/house-floor/,makler-realty.com,taxonomy,,301,/nl/zoeken?property_family=house,property type archive,,
https://makler-realty.com/nl/category-type/industrial-building/,makler-realty.com,taxonomy,Industriële gebouwen,301,/nl/zoeken?property_family=commercial,property type archive,,
https://makler-realty.com/nl/category-type/office-building/,makler-realty.com,taxonomy,Kantoor gebouwen,301,/nl/zoeken?property_family=commercial,property type archive,,
https://makler-realty.com/nl/category-type/office/,makler-realty.com,taxonomy,,301,/nl/zoeken?property_family=commercial,property type archive,,
https://makler-realty.com/nl/category-type/studio/,makler-realty.com,taxonomy,,301,/nl/zoeken?property_family=apartment,property type archive,,
https://makler-realty.com/nl/category-type/villa/,makler-realty.com,taxonomy,,301,/nl/zoeken?property_family=house,property type archive,,
https://makler-realty.com/nl/resort/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b2-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%be/,makler-realty.com,taxonomy,,410,,no location page for resort/недвижимость-в-банско,,
